,ibns_20u,vgs_m1,name,type,time,OK
0,19.35699,0.6820555,tran_LayGtKttmmTtVt_29,Lay,Mon Sep  1 10:23:03 2025,True
1,21.164859999999997,0.68799,tran_LayGtKttmmTtVt_28,Lay,Mon Sep  1 10:23:02 2025,True
2,19.26715,0.681998,tran_LayGtKttmmTtVt_27,Lay,Mon Sep  1 10:23:00 2025,True
3,20.448240000000002,0.686437,tran_LayGtKttmmTtVt_26,Lay,Mon Sep  1 10:22:59 2025,True
4,18.70622,0.6826826,tran_LayGtKttmmTtVt_25,Lay,Mon Sep  1 10:22:58 2025,True
5,19.89112,0.6873406,tran_LayGtKttmmTtVt_24,Lay,Mon Sep  1 10:22:56 2025,True
6,20.87587,0.6893205,tran_LayGtKttmmTtVt_23,Lay,Mon Sep  1 10:22:55 2025,True
7,18.95509,0.6828589,tran_LayGtKttmmTtVt_22,Lay,Mon Sep  1 10:22:53 2025,True
8,18.93955,0.6828928,tran_LayGtKttmmTtVt_21,Lay,Mon Sep  1 10:22:52 2025,True
9,20.01403,0.684905,tran_LayGtKttmmTtVt_20,Lay,Mon Sep  1 10:22:51 2025,True
10,21.16188,0.6878367,tran_LayGtKttmmTtVt_19,Lay,Mon Sep  1 10:22:49 2025,True
11,19.13241,0.6815522,tran_LayGtKttmmTtVt_18,Lay,Mon Sep  1 10:22:48 2025,True
12,19.84344,0.6863588,tran_LayGtKttmmTtVt_17,Lay,Mon Sep  1 10:22:46 2025,True
13,19.73947,0.6875236,tran_LayGtKttmmTtVt_16,Lay,Mon Sep  1 10:22:45 2025,True
14,20.43939,0.6870165,tran_LayGtKttmmTtVt_15,Lay,Mon Sep  1 10:22:44 2025,True
15,19.37849,0.6864161,tran_LayGtKttmmTtVt_14,Lay,Mon Sep  1 10:22:42 2025,True
16,21.74355,0.6912939,tran_LayGtKttmmTtVt_13,Lay,Mon Sep  1 10:22:41 2025,True
17,19.56013,0.6823995,tran_LayGtKttmmTtVt_12,Lay,Mon Sep  1 10:22:39 2025,True
18,20.42773,0.6872935,tran_LayGtKttmmTtVt_11,Lay,Mon Sep  1 10:22:38 2025,True
19,19.92296,0.685984,tran_LayGtKttmmTtVt_10,Lay,Mon Sep  1 10:22:37 2025,True
20,22.48263,0.6926793,tran_LayGtKttmmTtVt_9,Lay,Mon Sep  1 10:22:35 2025,True
21,19.010710000000003,0.6836256,tran_LayGtKttmmTtVt_8,Lay,Mon Sep  1 10:22:34 2025,True
22,20.675880000000003,0.6871104,tran_LayGtKttmmTtVt_7,Lay,Mon Sep  1 10:22:32 2025,True
23,20.716379999999997,0.688376,tran_LayGtKttmmTtVt_6,Lay,Mon Sep  1 10:22:31 2025,True
24,20.56678,0.6876066,tran_LayGtKttmmTtVt_5,Lay,Mon Sep  1 10:22:29 2025,True
25,20.71263,0.686961,tran_LayGtKttmmTtVt_4,Lay,Mon Sep  1 10:22:28 2025,True
26,20.29382,0.6877257,tran_LayGtKttmmTtVt_3,Lay,Mon Sep  1 10:22:27 2025,True
27,21.552220000000002,0.6905031,tran_LayGtKttmmTtVt_2,Lay,Mon Sep  1 10:22:25 2025,True
28,20.29804,0.6880332,tran_LayGtKttmmTtVt_1,Lay,Mon Sep  1 10:22:24 2025,True
29,20.518539999999998,0.6871897,tran_LayGtKttmmTtVt,Lay,Mon Sep  1 10:22:22 2025,True
